Subfamily;Tribe;Genus;Species;FWL;FWW;HWL;HWW;TL;TW;AL;AW;BL;FA;AR;FHR;WTR;Obs;Source;Subspecies
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_helena;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Capronnieria;Capronnieria_abretia;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Charaxinae;Anaeini;Memphis;Memphis_arginussa;2.76;1.93;2.24;1.86;NA;NA;NA;0.18;1.61;5.327;2.8601;1.232;NA;Macho;BoA;
Satyrinae;Satyrini;Foetterleia;Foetterleia_schreineri;3.12;1.74;2.71;2.06;0.54;0.21;1.09;0.08;1.62;5.429;3.5862;1.151;408.768;Macho;BoA;
Charaxinae;Anaeini;Memphis;Memphis_moruus;3.39;2.663;2.731;2.519;0.714;0.422;0.814;0.3;1.626;9.028;2.546;1.241;90.381;;;
Biblidinae;Epiphilini;Epiphile;Epiphile_orea;2.54;1.62;1.96;1.86;0.75;0.39;0.83;0.2;1.63;4.115;3.1358;1.296;56.556;;LABOR;
Satyrinae;Morphini;Antirrhea;Antirrhea_archaea;3.56;2.17;3.01;2.46;0.54;0.31;1.08;0.21;1.63;7.725;3.2811;1.183;244.221;;FMNH;
Biblidinae;Epiphilini;Temenis;Temenis_huebneri;2.55;1.52;1.85;1.6;0.73;0.23;0.92;0.15;1.64;3.876;3.3553;1.378;168.384;Macho;BoA;korallion
Satyrinae;Haeterini;Haetera;Haetera_piera;3.49;1.72;2.79;1.79;0.54;0.27;1.1;0.14;1.64;6.003;4.0581;1.251;309.407;Sexo não identificado;BoA;lesbia
Satyrinae;Morphini;Morpho;Morpho_aega;4.87;2.79;3.57;2.99;0.65;0.27;1;0.24;1.64;13.587;3.491;1.364;500.515;Sexo não identificado;BoA;
Biblidinae;Callicorini;Callicore;Callicore_texa;2.69;1.5;2.01;1.65;0.71;0.3;0.97;0.13;1.65;4.035;3.5867;1.338;113.241;Macho;BoA;
Biblidinae;Callicorini;Callicore;Callicore_astarte;2.64;1.62;2.09;1.75;0.72;0.39;0.94;0.24;1.65;4.277;3.2593;1.263;63.642;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;3.22;2.17;3.11;2.38;0.54;0.34;1.05;0.14;1.65;6.987;2.9677;1.035;166.096;;LABOR;
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;3.623;2.587;2.72;2.504;0.727;0.349;0.827;0.292;1.659;9.373;2.8009;1.332;148.235;;Aline_Zeiss;
Satyrinae;Satyrini;Praepedaliodes;Praepedaliodes_phanias;2.76;1.76;2.38;2.04;0.6;0.4;1.06;0.13;1.66;4.858;3.1364;1.16;79.35;;LABOR;
Satyrinae;Haeterini;Haetera;Haetera_piera;3.65;1.84;2.8;1.94;0.5;0.24;1.16;0.13;1.66;6.716;3.9674;1.304;462.587;;YMNH;
Satyrinae;Satyrini;Taygetis;Taygetis_drogoni;3.25;2.09;3.08;2.4;0.6;0.3;1.07;0.2;1.66;6.793;3.11;1.055;195.602;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_helenor;5.62;3.37;4.37;3.79;NA;NA;NA;NA;1.66;18.939;3.3353;1.286;NA;Sexo não identificado;BoA;coelestis
Biblidinae;Catonephelini;Eunica;Eunica_maja;2.68;1.47;1.9;1.7;0.67;0.3;0.98;0.13;1.67;3.94;3.6463;1.411;119.111;;LABOR;
